name_restoran_steak,name,rating,review
Steak Hotel by HOLYCOW! TKP Semarang,Nirmala Hidajati,5.0,"The best steak house that I ever eaten. I ordered rib eye with mushroom sauce and mash potato and green bean. Rib eye is welldone but still juicy and smooth. Mushroom sauce is so nice creamy but not heavy. The greenbean is seasoned good. The waitress is friendly and very helpfull. The place is cozy and nice for take lunch or dinner with family, coworkers, and friends."
Steak Hotel by HOLYCOW! TKP Semarang,Chendy Christian,4.0,They didn't provide some mustard and other things now ? Just sambal sauce ?
Steak Hotel by HOLYCOW! TKP Semarang,Arno “Rockerss07” Febrianto,5.0,"Great place for family dinners, medium price. Great 🥩 steak Back again one year later , order 3 tenderloin and two wagyu tenderloin valleys . 22/12/2020 Not crowded because of covid19 pandemic ."
Steak Hotel by HOLYCOW! TKP Semarang,Kiki Maliana,4.0,"One of famous steak house in Semarang, have a cozy place and many facilities like mushola, rest room and large parking area for car and motorcycle, the steak is very good but when i was order well done Legendary steak, it's not well done cooked.. i hope next time it will be attention"
Steak Hotel by HOLYCOW! TKP Semarang,Ignasius Bagus Satrio Suhardiyono,4.0,"$$$$ Price range: around IDR 25k - 250k 5 🌟 for the service, but 4 🌟 for the taste. The hospitality of the staffs is very good. I ordered medium steak, but unfortunately it's more well done than medium."
Steak Hotel by HOLYCOW! TKP Semarang,Arafah Khoirul,4.0,The place was quite comfy. They have spacious parking lot. Im not an expert in food so for me the taste was quite tasty. I ordered medium steak. It was a bit raw but still ok. I liked the mashed potato. They still have birhtday promo and thats good
Steak Hotel by HOLYCOW! TKP Semarang,Wulan Dhesi,4.0,"Thought it's the best steak in town. Why? It has many menus you can choose with fair price. Starting from 45K rupiah to 200K. And it serves fresh meat with savoury taste. I came here several times. Buddy's tenderloin steak which made of Japanese meat is my favourite. The meat is soft, juicy, and no fat. It cost 99K. You can ask more sauces for free but only for 3times. Whereas, my husband ordered Australian prime sirloin. It's juicy, soft, but it has some fat. He said, mine was better. It cost 99K also. So, with their high quality meat and its fair price, I would recommend you to come here. Luckily, if you come here during on your birthday, you'll get an ice cream!"
Steak Hotel by HOLYCOW! TKP Semarang,Rezha August,4.0,"the holycow sc goes excellent with the spinach rather than w/ the steak.black pepper sc no argue!love it!reasonable price,lovable wait staff.but to me using frying pan as the serving plate is a big No! A bit challenging to cut the steak while the knife kept colliding the tall body of the pan (serving plate). And kinda think the ambience can be improved in order to enjoy the steak more."
Steak Hotel by HOLYCOW! TKP Semarang,Robertus Nugroho,2.0,"The Steak are uneatable,the meat have to many muscle tendon.....at the price they serve they should and could serve better quality meat,I think this kind of meat should not be serve as a steak.....maybe its a should be grinded"
Steak Hotel by HOLYCOW! TKP Semarang,Flo Renshi,4.0,"Good service, good meat quality. Only too bad some menus already sold out."
